Type,Source/Category,Amount,Date
Income,Dividends,640,2023-01-05
Income,Dividends,140,2021-04-06
Income,Rent,650,2021-08-21
Income,Dividends,1150,2023-07-23
Income,Salary,940,2018-11-10
Income,Rent,380,2021-08-24
Income,Salary,650,2019-07-19
Income,Rent,100,2021-11-28
Income,Rent,120,2018-06-21
Income,Salary,500,2022-07-12
Income,Dividends,150,2022-05-16
Income,Dividends,250,2021-12-22
Income,Dividends,100,2018-12-28
Income,Rent,300,2018-01-09
Income,Dividends,2200,2019-07-03
Income,Dividends,380,2022-08-23
Income,Salary,300,2022-05-10
Income,Salary,800,2023-11-10
Income,Salary,360,2022-11-12
Income,Rent,280,2021-07-02
Income,Salary,950,2023-05-02
Income,Salary,750,2021-03-04
Income,Salary,300,2021-04-18
Income,Dividends,650,2023-05-18
Income,Dividends,680,2021-12-01
Income,Salary,580,2021-04-17
Income,Salary,2350,2019-07-15
Income,Rent,400,2022-07-19
Income,Salary,800,2021-01-09
Income,Rent,60,2019-10-27
Income,Rent,320,2021-01-15
Income,Dividends,560,2022-12-26
Income,Dividends,950,2018-04-10
Income,Salary,480,2018-02-26
Income,Salary,280,2021-04-16
Income,Dividends,300,2018-02-18
Income,Rent,300,2022-04-08
Income,Rent,800,2023-05-21
Income,Rent,220,2018-11-20
Income,Dividends,700,2019-03-21
Income,Dividends,300,2018-07-13
Income,Rent,260,2022-11-13
Income,Rent,160,2018-11-24
Income,Rent,1150,2019-04-07
Income,Salary,1300,2023-11-14
Income,Rent,380,2023-11-21
Income,Dividends,160,2018-04-08
Income,Dividends,200,2018-01-11
Income,Rent,1600,2022-09-15
Income,Rent,300,2021-08-11
Income,Dividends,400,2021-02-22
Income,Rent,40,2023-09-19
Income,Salary,950,2021-03-11
Income,Salary,240,2022-05-19
Income,Dividends,650,2020-06-17
Income,Salary,250,2020-10-22
Income,Rent,700,2022-03-16
Income,Dividends,250,2023-08-19
Income,Rent,340,2023-02-01
Income,Dividends,850,2022-07-09
Income,Rent,800,2018-01-16
Income,Salary,180,2022-07-26
Income,Rent,940,2019-05-14
Income,Rent,380,2018-01-20
Income,Salary,650,2023-08-10
Income,Dividends,440,2019-09-26
Income,Salary,240,2018-10-02
Income,Salary,560,2018-01-30
Income,Rent,360,2020-01-01
Income,Salary,600,2023-12-27
Income,Salary,100,2021-09-17
Income,Rent,260,2019-04-07
Income,Dividends,660,2019-05-04
Income,Salary,40,2021-09-20
Income,Salary,200,2021-09-11
Income,Rent,360,2022-06-07
Income,Rent,2500,2022-06-10
Income,Dividends,1200,2018-10-27
Income,Dividends,1400,2022-08-25
Income,Rent,320,2018-02-01
Income,Dividends,600,2023-03-30
Income,Rent,320,2021-07-10
Income,Rent,100,2020-09-17
Income,Dividends,2400,2023-11-23
Income,Dividends,280,2023-10-26
Income,Dividends,800,2023-12-17
Income,Rent,80,2022-08-20
Income,Dividends,350,2022-10-17
Income,Salary,920,2023-10-12
Expense,Entertainment,100,2022-12-06
Expense,Entertainment,100,2018-10-18
Expense,Bills,20,2020-02-08
Expense,Rent,20,2023-10-21
Expense,Rent,200,2018-10-23
Expense,Bills,40,2019-08-08
Expense,Groceries,40,2023-11-21
Expense,Bills,100,2018-12-12
Expense,Bills,20,2023-03-10
Expense,Groceries,50,2020-11-14
Expense,Rent,20,2018-10-31
Expense,Rent,100,2019-01-08
Expense,Groceries,60,2023-04-24
Expense,Entertainment,200,2021-10-16
Expense,Entertainment,50,2023-09-13
Expense,Rent,20,2018-12-07
Expense,Bills,200,2019-03-25
Expense,Groceries,60,2021-06-17
Expense,Groceries,40,2021-01-26
Expense,Entertainment,100,2018-07-06
Expense,Groceries,100,2022-08-09
Expense,Groceries,20,2022-03-30
Expense,Bills,60,2019-07-04
Expense,Groceries,20,2019-04-09
Expense,Groceries,150,2023-03-02
Expense,Rent,100,2021-07-03
Expense,Entertainment,100,2023-07-06
Expense,Groceries,50,2020-07-13
Expense,Bills,50,2023-11-23
Expense,Entertainment,20,2020-01-26
Expense,Entertainment,20,2020-11-14
Expense,Groceries,250,2019-09-02
Expense,Bills,50,2022-10-21
Expense,Groceries,0,2020-08-20
Expense,Bills,80,2021-04-03
Expense,Groceries,80,2019-01-15
Expense,Entertainment,40,2021-03-03
Expense,Entertainment,50,2020-04-06
Expense,Groceries,20,2020-02-01
Expense,Groceries,60,2018-06-08
Expense,Rent,20,2023-10-27
Expense,Entertainment,20,2021-10-08
Expense,Rent,50,2022-02-03
Expense,Entertainment,50,2018-06-10
Expense,Groceries,200,2022-06-01
Expense,Groceries,20,2019-06-30
Expense,Rent,40,2018-09-19
Expense,Bills,20,2022-01-04
Expense,Bills,200,2020-08-15
Expense,Groceries,20,2019-12-28
Expense,Groceries,20,2018-10-22
Expense,Bills,20,2019-05-17
Expense,Groceries,0,2019-04-11
Expense,Rent,20,2021-05-26
Expense,Entertainment,60,2019-10-26
Expense,Bills,20,2023-12-08
Expense,Groceries,50,2020-11-21
Expense,Bills,20,2023-06-06
Expense,Bills,100,2021-04-23
Expense,Rent,40,2021-10-22
Expense,Entertainment,50,2023-07-30
Expense,Rent,20,2018-09-23
Expense,Entertainment,50,2018-04-05
Expense,Entertainment,100,2023-08-26
Expense,Groceries,50,2021-05-05
Expense,Groceries,50,2019-10-28
Expense,Entertainment,40,2020-02-15
Expense,Rent,50,2020-09-21
Expense,Rent,200,2021-06-08
Expense,Entertainment,80,2023-03-07
Expense,Rent,20,2019-06-17
Expense,Rent,50,2018-12-11
Expense,Groceries,150,2023-09-11
Expense,Bills,0,2023-03-14
Expense,Groceries,20,2023-05-26
Expense,Bills,50,2019-08-04
Expense,Groceries,100,2023-05-30
Expense,Entertainment,200,2020-10-30
Expense,Rent,200,2019-03-18
Expense,Rent,20,2018-08-24
Expense,Entertainment,0,2020-03-07
Expense,Groceries,250,2018-10-27
Expense,Rent,40,2021-02-15
Expense,Rent,20,2019-04-01
Expense,Groceries,20,2018-04-05
Expense,Rent,250,2022-07-19
Expense,Rent,20,2018-06-24
Expense,Entertainment,100,2019-03-16
Expense,Entertainment,80,2021-01-15
Expense,Rent,100,2023-02-09
Expense,Rent,100,2023-12-12
Expense,Rent,20,2021-04-26
Expense,Groceries,20,2020-03-06
Expense,Bills,100,2022-12-09
Expense,Entertainment,250,2019-04-16
Expense,Entertainment,100,2020-03-17
Expense,Entertainment,20,2021-11-11
Expense,Entertainment,0,2022-01-26
Expense,Bills,40,2019-03-18
Expense,Rent,100,2021-04-24
Expense,Rent,40,2021-06-11
Expense,Bills,100,2021-08-01
Expense,Groceries,80,2019-04-27
Expense,Bills,0,2021-01-27
Expense,Entertainment,100,2020-07-08
Expense,Groceries,0,2022-07-25
Expense,Entertainment,0,2019-04-26
Expense,Entertainment,50,2023-11-02
Expense,Entertainment,40,2019-01-04
Expense,Groceries,100,2019-03-06
Expense,Entertainment,100,2019-08-13
